"TAG","colorName","colorHEX","symbol","line","UNITE"
"SEH1.STB_STK_02.TT_06.HM05",,,,"solid","°C"
"SEH1.STB_STK_03.ET_00_HC01",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_00_HC02",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_00_HC03",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_00_HC04",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_00_HC05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_01.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_02.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_03.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_04.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_05.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_06.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_07.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_08.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_09.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_10.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_11.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_12.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_13.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_14.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_15.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_16.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_17.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_18.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_19.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_20.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_21.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_22.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_23.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_24.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.ET_25.HM05",,,,"solid","V DC"
"SEH1.STB_STK_03.HER_01_CL01.In.HR26",,,,"solid","°C"
"SEH1.STB_STK_03.HER_01.HO00",,,,"solid","TOR"
"SEH1.STB_STK_03.HER_02_CL01.In.HR26",,,,"solid","°C"
"SEH1.STB_STK_03.HER_02.HO00",,,,"solid","TOR"
"SEH1.STB_STK_03.TT_01.HM05",,,,"solid","°C"
"SEH1.STB_STK_03.TT_02.HM05",,,,"solid","°C"
"SEH1.STB_STK_03.TT_03.HM05",,,,"solid","°C"
"SEH1.STB_STK_03.TT_04.HM05",,,,"solid","°C"
"SEH1.STB_STK_03.TT_05.HM05",,,,"solid","°C"
"SEH1.STB_STK_03.TT_06.HM05",,,,"solid","°C"
"SEH1.STB_STK_04.ET_00_HC01",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_00_HC02",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_00_HC03",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_00_HC04",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_00_HC05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_01.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_02.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_03.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_04.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_05.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_06.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_07.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_08.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_09.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_10.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_11.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_12.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_13.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_14.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_15.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_16.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_17.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_18.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_19.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_20.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_21.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_22.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_23.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_24.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.ET_25.HM05",,,,"solid","V DC"
"SEH1.STB_STK_04.HER_01_CL01.In.HR26",,,,"solid","°C"
"SEH1.STB_STK_04.HER_01.HO00",,,,"solid","TOR"
"SEH1.STB_STK_04.HER_02_CL01.In.HR26",,,,"solid","°C"
"SEH1.STB_STK_04.HER_02.HO00",,,,"solid","TOR"
"SEH1.STB_STK_04.TT_01.HM05",,,,"solid","°C"
"SEH1.STB_STK_04.TT_02.HM05",,,,"solid","°C"
"SEH1.STB_STK_04.TT_03.HM05",,,,"solid","°C"
"SEH1.STB_STK_04.TT_04.HM05",,,,"solid","°C"
"SEH1.STB_STK_04.TT_05.HM05",,,,"solid","°C"
"SEH1.STB_STK_04.TT_06.HM05",,,,"solid","°C"
"SEH1.STB_STK_HER_00_JT_01.JTVA_HC20",,,,"solid","VA AC"
"SEH1.STB_STK_HER_00_JT_01.JTVAR_HC20",,,,"solid","VAR AC"
"SEH1.STB_STK_HER_00_JT_01.JTW_HC20",,,,"solid","W AC"
"SEH1.STB_STK_HER_00_JT_02.JTVA_HC20",,,,"solid","VA AC"
"SEH1.STB_STK_HER_00_JT_02.JTVAR_HC20",,,,"solid","VAR AC"
"SEH1.STB_STK_HER_00_JT_02.JTW_HC20",,,,"solid","W AC"
"SEH1.STB_STK_HER_00_JT_03.JTVA_HC20",,,,"solid","VA AC"
"SEH1.STB_STK_HER_00_JT_03.JTVAR_HC20",,,,"solid","VAR AC"
"SEH1.STB_STK_HER_00_JT_03.JTW_HC20",,,,"solid","W AC"
"SEH1.STB_TT_01.HM05",,,,"solid","°C"
"SEH1.STB_TT_02.HM05",,,,"solid","°C"
"SEH1.STK_ALIM_01.ET_HM05",,,,"solid","V DC"
"SEH1.STK_ALIM_01.IT_HM05",,,,"solid","A"
"SEH1.STK_ALIM_01.IT_HR29",,,,"solid","A"
"SEH1.STK_ALIM_01.IT_HS00",,,,"solid","A"
"SEH1.STK_ALIM_01.JT_01.JTVA_HC20_K",,,,"solid","KVA AC"
"SEH1.STK_ALIM_01.JT_01.JTVAR_HC20_K",,,,"solid","Kvar AC"
"SEH1.STK_ALIM_01.JT_01.JTW_HC20_K",,,,"solid","kW AC"
"SEH1.STK_ALIM_01.JTW_HM05",,,,"solid","kW DC"
"SEH1.STK_ALIM_02.ET_HM05",,,,"solid","V DC"
"SEH1.STK_ALIM_02.IT_HM05",,,,"solid","A"
"SEH1.STK_ALIM_02.IT_HR29",,,,"solid","A"
"SEH1.STK_ALIM_02.IT_HS00",,,,"solid","A"
"SEH1.STK_ALIM_02.JTW_HM05",,,,"solid","kW DC"
"SEH1.STK_ALIM_03.ET_HM05",,,,"solid","V DC"
"SEH1.STK_ALIM_03.IT_HM05",,,,"solid","A"
"SEH1.STK_ALIM_03.IT_HR29",,,,"solid","A"
"SEH1.STK_ALIM_03.IT_HS00",,,,"solid","A"
"SEH1.STK_ALIM_03.JTW_HM05",,,,"solid","kW DC"
"SEH1.STK_ALIM_04.ET_HM05",,,,"solid","V DC"
"SEH1.STK_ALIM_04.IT_HM05",,,,"solid","A"
"SEH1.STK_ALIM_04.IT_HR29",,,,"solid","A"
"SEH1.STK_ALIM_04.IT_HS00",,,,"solid","A"
"SEH1.STK_ALIM_04.JTW_HM05",,,,"solid","kW DC"
"SIS.BAS_EX_FT_01_HM05",,,,"solid","m3/h "
"SIS.BAS_EX_FT_02_HM05",,,,"solid","m3/h "
"SIS.BAS_GN_PT_01_HM05",,,,"solid","barg"
"SIS.BAS_H2_FCV_01_HR36",,,,"solid","Nl/min"
"SIS.BAS_H2_FT_01_HM05",,,,"solid","barg"
"SIS.BAS_H2_PT_00_HC06",,,,"solid","%"
"SIS.BAS_H2_PT_01_HM05",,,,"solid","barg"
"SIS.BAS_H2_PT_01_HM06",,,,"solid","%"
"SIS.BAS_H2_PT_02_HM05",,,,"solid","barg"
"SIS.BAS_H2_PT_02_HM06",,,,"solid","%"
"SIS.BAS_N2_FCV_01_HR36",,,,"solid","Nl/min"
"SIS.BAS_N2_FCV_02_HR36",,,,"solid","Nl/min"
"SIS.BAS_N2_FT_01_HM05",,,,"solid","Nl/min"
"SIS.BAS_N2_FT_02_HM05",,,,"solid","Nl/min"
"SIS.BAS_N2_PT_00_HC06",,,,"solid","%"
"SIS.BAS_N2_PT_01_HM05",,,,"solid","barg"
"SIS.BAS_N2_PT_01_HM06",,,,"solid","%"
"SIS.BAS_N2_PT_02_HM05",,,,"solid","barg"
"SIS.BAS_N2_PT_02_HM06",,,,"solid","%"
"SIS.TT_01.HM05",,,,"solid","°C"
